KeyCode,JPName,5桁銘柄コード,4桁銘柄Code
1848,株式会社　富士ピー・エス,18480,1848
1850,南海辰村建設株式会社,18500,1850
1852,株式会社淺沼組,18520,1852
1853,株式会社　森組,18530,1853
1860,戸田建設株式会社,18600,1860
1861,株式会社　熊谷組,18610,1861
1865,青木あすなろ建設株式会社,18650,1865
1866,北野建設株式会社,18660,1866
1867,株式会社植木組,18670,1867
1868,三井ホーム株式会社,18680,1868
1869,名工建設株式会社,18690,1869
1870,矢作建設工業株式会社,18700,1870
1871,株式会社ピーエス三菱,18710,1871
1873,株式会社日本ハウスホールディングス,18730,1873
1878,大東建託株式会社,18780,1878
1879,新日本建設株式会社,18790,1879
1881,株式会社ＮＩＰＰＯ,18810,1881
1882,東亜道路工業株式会社,18820,1882
1883,前田道路株式会社,18830,1883
1884,日本道路株式会社,18840,1884
1885,東亜建設工業株式会社,18850,1885
1888,若築建設株式会社,18880,1888
1890,東洋建設株式会社,18900,1890
1892,徳倉建設株式会社,18920,1892
1893,五洋建設株式会社,18930,1893
1896,大林道路株式会社,18960,1896
1897,金下建設株式会社,18970,1897
1898,世紀東急工業株式会社,18980,1898
1899,株式会社福田組,18990,1899
1904,大成温調株式会社,19040,1904
1905,株式会社テノックス,19050,1905
1906,株式会社細田工務店,19060,1906
1909,日本ドライケミカル株式会社,19090,1909
1911,住友林業株式会社,19110,1911
1914,日本基礎技術株式会社,19140,1914
1916,日成ビルド工業株式会社,19160,1916
1919,株式会社ヤマダ・エスバイエルホーム,19190,1919
1921,株式会社　巴コーポレーション,19210,1921
1924,パナホーム株式会社,19240,1924
1925,大和ハウス工業株式会社,19250,1925
1926,ライト工業株式会社,19260,1926
1928,積水ハウス株式会社,19280,1928
1929,日特建設株式会社,19290,1929
1930,北陸電気工事株式会社,19300,1930
1931,日本電通株式会社,19310,1931
1933,株式会社ＳＹＳＫＥＮ,19330,1933
1934,株式会社ユアテック,19340,1934
1935,株式会社ＴＴＫ,19350,1935
1936,シーキューブ株式会社,19360,1936
1937,西部電気工業株式会社,19370,1937
1938,日本リーテック株式会社,19380,1938
1939,株式会社四電工,19390,1939
1941,株式会社中電工,19410,1941
1942,株式会社関電工,19420,1942
1944,株式会社きんでん,19440,1944
1945,株式会社東京エネシス,19450,1945
1946,株式会社トーエネック,19460,1946
1948,株式会社弘電社,19480,1948
1949,住友電設株式会社,19490,1949
1950,日本電設工業株式会社,19500,1950
1951,株式会社協和エクシオ,19510,1951
1952,新日本空調株式会社,19520,1952
1954,日本工営株式会社,19540,1954
1956,ＮＤＳ株式会社,19560,1956
1959,株式会社九電工,19590,1959
1960,株式会社サンテック,19600,1960
1961,三機工業株式会社,19610,1961
1963,日揮株式会社,19630,1963
1964,中外炉工業株式会社,19640,1964
1965,株式会社テクノ菱和,19650,1965
1966,株式会社　高田工業所,19660,1966
1967,株式会社ヤマト,19670,1967
1968,太平電業株式会社,19680,1968
1969,高砂熱学工業株式会社,19690,1969
1971,中央ビルト工業株式会社,19710,1971
1972,三晃金属工業株式会社,19720,1972
1973,ＮＥＣネッツエスアイ株式会社,19730,1973
1975,株式会社朝日工業社,19750,1975
1976,明星工業株式会社,19760,1976
1979,株式会社大気社,19790,1979
1980,ダイダン株式会社,19800,1980
1981,株式会社協和日成,19810,1981
1982,日比谷総合設備株式会社,19820,1982
1983,東芝プラントシステム株式会社,19830,1983
1984,三信建設工業株式会社,19840,1984
1987,株式会社ソルコム,19870,1987
1989,北陸電話工事株式会社,19890,1989
1992,神田通信機株式会社,19920,1992
1994,高橋カーテンウォール工業株式会社,19940,1994
1997,暁飯島工業株式会社,19970,1997
1999,サイタホールディングス株式会社,19990,1999
2001,日本製粉株式会社,20010,2001
2002,株式会社日清製粉グループ本社,20020,2002
2003,日東富士製粉株式会社,20030,2003
2004,昭和産業株式会社,20040,2004
2008,株式会社増田製粉所,20080,2008
2009,鳥越製粉株式会社,20090,2009
2053,中部飼料株式会社,20530,2053
2055,日和産業株式会社,20550,2055
2058,株式会社ヒガシマル,20580,2058
2060,フィード・ワン株式会社,20600,2060
2107,東洋精糖株式会社,21070,2107
2108,日本甜菜製糖株式会社,21080,2108
2109,三井製糖株式会社,21090,2109
2112,塩水港精糖株式会社,21120,2112
2114,フジ日本精糖株式会社,21140,2114
2117,日新製糖株式会社,21170,2117
2120,株式会社ネクスト,21200,2120
2121,株式会社ミクシィ,21210,2121
2122,株式会社インタースペース,21220,2122
2124,株式会社ジェイエイシーリクルートメント,21240,2124
2127,株式会社日本Ｍ＆Ａセンター,21270,2127
2128,株式会社ノバレーゼ,21280,2128
2130,株式会社メンバーズ,21300,2130
2131,株式会社アコーディア・ゴルフ,21310,2131
2132,株式会社アイレップ,21320,2132
2134,燦キャピタルマネージメント株式会社,21340,2134
2136,株式会社ヒップ,21360,2136
2137,株式会社光ハイツ・ヴェラス,21370,2137
2138,クルーズ株式会社,21380,2138
2139,株式会社中広,21390,2139
2144,株式会社やまねメディカル,21440,2144
2145,データリンクス株式会社,21450,2145
2146,ＵＴグループ株式会社,21460,2146
2148,アイティメディア株式会社,21480,2148
2150,株式会社ケアネット,21500,2150
2151,株式会社タケエイ,21510,2151
2152,幼児活動研究会株式会社,21520,2152
2153,Ｅ・Ｊホールディングス株式会社,21530,2153
2154,株式会社トラスト・テック,21540,2154
2156,セーラー広告株式会社,21560,2156
2157,株式会社コシダカホールディングス,21570,2157
2158,株式会社ＦＲＯＮＴＥＯ,21580,2158
2159,株式会社フルスピード,21590,2159
2160,株式会社ジーエヌアイグループ,21600,2160
2162,日本マニュファクチャリングサービス株式会社,21620,2162
2163,株式会社アルトナー,21630,2163
2164,株式会社地域新聞社,21640,2164
2168,株式会社パソナグループ,21680,2168
2169,ＣＤＳ株式会社,21690,2169
2170,株式会社リンクアンドモチベーション,21700,2170
2172,株式会社インサイト,21720,2172
2173,株式会社博展,21730,2173
2174,ＧＣＡ株式会社,21740,2174
2175,株式会社エス・エム・エス,21750,2175
2176,株式会社イナリサーチ,21760,2176
2178,株式会社トライステージ,21780,2178
2179,株式会社成学社,21790,2179
2180,株式会社サニーサイドアップ,21800,2180
2181,テンプホールディングス株式会社,21810,2181
2183,株式会社リニカル,21830,2183
2185,株式会社シイエム・シイ,21850,2185
2186,ソーバル株式会社,21860,2186
2191,テラ株式会社,21910,2191
2193,クックパッド株式会社,21930,2193
2195,アミタホールディングス株式会社,21950,2195
2196,株式会社エスクリ,21960,2196
2201,森永製菓株式会社,22010,2201
2204,株式会社中村屋,22040,2204
2206,江崎グリコ株式会社,22060,2206
2207,名糖産業株式会社,22070,2207
2208,株式会社ブルボン,22080,2208
2209,井村屋グループ株式会社,22090,2209
2211,株式会社不二家,22110,2211
2212,山崎製パン株式会社,22120,2212
2215,第一屋製パン株式会社,22150,2215
2216,カンロ株式会社,22160,2216
2217,モロゾフ株式会社,22170,2217
2218,日糧製パン株式会社,22180,2218
2220,亀田製菓株式会社,22200,2220
2221,岩塚製菓株式会社,22210,2221
2222,寿スピリッツ株式会社,22220,2222
2224,株式会社コモ,22240,2224
2226,株式会社湖池屋,22260,2226
2228,株式会社シベール,22280,2228
2229,カルビー株式会社,22290,2229
2230,五洋食品産業株式会社,22300,2230
2264,森永乳業株式会社,22640,2264
2266,六甲バター株式会社,22660,2266
2267,株式会社ヤクルト本社,22670,2267
2268,Ｂ－Ｒ　サーティワン　アイスクリーム株式会社,22680,2268
2269,明治ホールディングス株式会社,22690,2269
2270,雪印メグミルク株式会社,22700,2270
2281,プリマハム株式会社,22810,2281
2282,日本ハム株式会社,22820,2282
2286,林兼産業株式会社,22860,2286
2288,丸大食品株式会社,22880,2288
2291,福留ハム株式会社,22910,2291
2292,エスフーズ株式会社,22920,2292
2293,滝沢ハム株式会社,22930,2293
2294,株式会社柿安本店,22940,2294
2296,伊藤ハム米久ホールディングス株式会社,22960,2296
2300,株式会社きょくとう,23000,2300
2301,株式会社学情,23010,2301
2303,株式会社ドーン,23030,2303
2304,株式会社ＣＳＳホールディングス,23040,2304
2305,株式会社スタジオアリス,23050,2305
2307,株式会社クロスキャット,23070,2307
2309,シミックホールディングス株式会社,23090,2309
2311,株式会社エプコ,23110,2311
2315,株式会社カイカ,23150,2315
2317,株式会社システナ,23170,2317
2321,株式会社ソフトフロントホールディングス,23210,2321
2322,ＮＥＣフィールディング株式会社,23220,2322
2323,株式会社ｆｏｎｆｕｎ,23230,2323
2325,株式会社ＮＪＳ,23250,2325
2326,デジタルアーツ株式会社,23260,2326
2327,新日鉄住金ソリューションズ株式会社,23270,2327
2329,株式会社東北新社,23290,2329
2330,株式会社フォーサイド,23300,2330
2331,綜合警備保障株式会社,23310,2331
2332,株式会社クエスト,23320,2332
2335,株式会社キューブシステム,23350,2335
2337,いちご株式会社,23370,2337
2338,株式会社ファステップス,23380,2338
2340,株式会社　極楽湯,23400,2340
2341,株式会社アルバイトタイムス,23410,2341
2342,株式会社トランスジェニック,23420,2342
2344,平安レイサービス株式会社,23440,2344
2345,アイスタディ株式会社,23450,2345
2349,株式会社エヌアイデイ,23490,2349
2351,株式会社ＡＳＪ,23510,2351
2352,株式会社エイジア,23520,2352
2353,日本駐車場開発株式会社,23530,2353
2354,安川情報システム株式会社,23540,2354
2359,株式会社コア,23590,2359
2362,株式会社夢真ホールディングス,23620,2362
2370,株式会社メディネット,23700,2370
2371,株式会社カカクコム,23710,2371
2372,株式会社アイロムグループ,23720,2372
2373,株式会社ケア２１,23730,2373
2374,セントケア・ホールディング株式会社,23740,2374
2375,スリープログループ株式会社,23750,2375
2376,株式会社　サイネックス,23760,2376
2378,株式会社ルネサンス,23780,2378
2379,ディップ株式会社,23790,2379
2384,ＳＢＳホールディングス株式会社,23840,2384
2385,株式会社総医研ホールディングス,23850,2385
2388,株式会社ウェッジホールディングス,23880,2388
2389,株式会社オプトホールディング,23890,2389
2391,株式会社プラネット,23910,2391
2393,株式会社日本ケアサプライ,23930,2393
2395,株式会社新日本科学,23950,2395
2397,株式会社ＤＮＡチップ研究所,23970,2397
2398,株式会社ツクイ,23980,2398
2400,ＳＯＭＰＯケアメッセージ株式会社,24000,2400
2402,株式会社アマナ,24020,2402
2404,株式会社鉄人化計画,24040,2404
2405,株式会社フジコー,24050,2405
2406,株式会社アルテサロンホールディングス,24060,2406
2408,株式会社ＫＧ情報,24080,2408
2410,株式会社キャリアデザインセンター,24100,2410
2411,ゲンダイエージェンシー株式会社,24110,2411
2412,株式会社ベネフィット・ワン,24120,2412
2413,エムスリー株式会社,24130,2413
2415,ヒューマンホールディングス株式会社,24150,2415
2417,株式会社ツヴァイ,24170,2417
2418,株式会社ツカダ・グローバルホールディング,24180,2418
2424,株式会社ブラス,24240,2424
2425,株式会社ケアサービス,24250,2425
2427,株式会社アウトソーシング,24270,2427
2428,ウェルネット株式会社,24280,2428
2429,株式会社ワールドホールディングス,24290,2429
2432,株式会社ディー・エヌ・エー,24320,2432
2433,株式会社博報堂ＤＹホールディングス,24330,2433
2435,株式会社シダー,24350,2435
2436,共同ピーアール株式会社,24360,2436
2437,シンワアートオークション株式会社,24370,2437
2438,株式会社アスカネット,24380,2438
2440,株式会社ぐるなび,24400,2440
2445,エスアールジータカミヤ株式会社,24450,2445
2449,株式会社プラップジャパン,24490,2449
2453,ジャパンベストレスキューシステム株式会社,24530,2453
2454,株式会社オールアバウト,24540,2454
2458,株式会社夢テクノロジー,24580,2458
2459,アウンコンサルティング株式会社,24590,2459
2461,株式会社ファンコミュニケーションズ,24610,2461
2462,ライク株式会社,24620,2462
2464,株式会社ビジネス・ブレークスルー,24640,2464
2467,株式会社バルクホールディングス,24670,2467
2468,株式会社フュートレック,24680,2468
2469,ヒビノ株式会社,24690,2469
2471,株式会社エスプール,24710,2471
2475,ＷＤＢホールディングス株式会社,24750,2475
2477,比較．ｃｏｍ株式会社,24770,2477
2479,株式会社ジェイテック,24790,2479
2480,システム・ロケーション株式会社,24800,2480
2481,株式会社タウンニュース社,24810,2481
2483,株式会社翻訳センター,24830,2483
2484,夢の街創造委員会株式会社,24840,2484
2485,株式会社ティア,24850,2485
2487,株式会社ＣＤＧ,24870,2487
2488,日本サード・パーティ株式会社,24880,2488
2489,株式会社アドウェイズ,24890,2489
2491,バリューコマース株式会社,24910,2491
2492,株式会社インフォマート,24920,2492
2493,イーサポートリンク株式会社,24930,2493
2497,ユナイテッド株式会社,24970,2497
2498,株式会社ＡＣＫグループ,24980,2498
2499,日本和装ホールディングス株式会社,24990,2499
2501,サッポロホールディングス株式会社,25010,2501
2502,アサヒグループホールディングス株式会社,25020,2502
2503,キリンホールディングス株式会社,25030,2503
2531,宝ホールディングス株式会社,25310,2531
2533,オエノンホールディングス株式会社,25330,2533
2538,ジャパン・フード＆リカー・アライアンス株式会社,25380,2538
2540,養命酒製造株式会社,25400,2540
2551,マルサンアイ株式会社,25510,2551
2573,北海道コカ・コーラボトリング株式会社,25730,2573
2579,コカ・コーラウエスト株式会社,25790,2579
2580,コカ・コーライーストジャパン株式会社,25800,2580
2586,株式会社フルッタフルッタ,25860,2586
2587,サントリー食品インターナショナル株式会社,25870,2587
2588,株式会社プレミアムウォーターホールディングス,25880,2588
2590,ダイドーグループホールディングス株式会社,25900,2590
2593,株式会社伊藤園,25930,2593
2594,キーコーヒー株式会社,25940,2594
2597,株式会社ユニカフェ,25970,2597
2599,ジャパンフーズ株式会社,25990,2599
2602,日清オイリオグループ株式会社,26020,2602
2607,不二製油グループ本社株式会社,26070,2607
2608,ボーソー油脂株式会社,26080,2608
2611,攝津製油株式会社,26110,2611
2612,かどや製油株式会社,26120,2612
2613,株式会社Ｊ－オイルミルズ,26130,2613
2651,株式会社ローソン,26510,2651
2652,株式会社まんだらけ,26520,2652
2653,イオン九州株式会社,26530,2653
2654,株式会社アスモ,26540,2654
2655,マックスバリュ東北株式会社,26550,2655
2656,株式会社ベクター,26560,2656
2659,株式会社サンエー,26590,2659
2664,株式会社カワチ薬品,26640,2664
2666,株式会社　オートウェーブ,26660,2666
2667,株式会社イメージワン,26670,2667
2668,タビオ株式会社,26680,2668
2669,カネ美食品株式会社,26690,2669
2670,株式会社エービーシー・マート,26700,2670
2673,夢みつけ隊株式会社,26730,2673
2674,株式会社ハードオフコーポレーション,26740,2674
2675,株式会社ダイナック,26750,2675
2676,高千穂交易株式会社,26760,2676
2678,アスクル株式会社,26780,2678
2681,株式会社ゲオホールディングス,26810,2681
2683,株式会社魚喜,26830,2683
2685,株式会社アダストリア,26850,2685
2686,株式会社ジーフット,26860,2686
2687,株式会社シー・ヴイ・エス・ベイエリア,26870,2687
2689,株式会社カワニシホールディングス,26890,2689
2692,伊藤忠食品株式会社,26920,2692
2693,ＹＫＴ株式会社,26930,2693
2694,株式会社ジー・テイスト,26940,2694
2695,株式会社　くらコーポレーション,26950,2695
2698,株式会社キャンドゥ,26980,2698
2700,木徳神糧株式会社,27000,2700
2702,日本マクドナルドホールディングス株式会社,27020,2702
2703,日本ライトン株式会社,27030,2703
2705,株式会社大戸屋ホールディングス,27050,2705
2706,株式会社ブロッコリー,27060,2706
2708,株式会社久世,27080,2708
2714,プラマテルズ株式会社,27140,2714
2715,エレマテック株式会社,27150,2715
2719,株式会社キタムラ,27190,2719
2721,株式会社ジェイホールディングス,27210,2721
2722,株式会社アイケイ,27220,2722
2726,株式会社パルグループホールディングス,27260,2726
2729,株式会社ＪＡＬＵＸ,27290,2729
2730,株式会社エディオン,27300,2730
2733,株式会社あらた,27330,2733
2734,株式会社サーラコーポレーション,27340,2734
2735,株式会社ワッツ,27350,2735
2736,株式会社サダマツ,27360,2736
2737,株式会社トーメンデバイス,27370,2737
2742,株式会社ハローズ,27420,2742
2743,ピクセルカンパニーズ株式会社,27430,2743
2747,北雄ラッキー株式会社,27470,2747
2749,株式会社ＪＰホールディングス,27490,2749
2750,石光商事株式会社,27500,2750
2751,株式会社テンポスバスターズ,27510,2751
2752,株式会社フジオフードシステム,27520,2752
2753,株式会社　あみやき亭,27530,2753
2754,株式会社東葛ホールディングス,27540,2754
2760,東京エレクトロンデバイス株式会社,27600,2760
2761,トシン・グループ株式会社,27610,2761
2762,株式会社　三光マーケティングフーズ,27620,2762
2763,株式会社エフティグループ,27630,2763
2764,株式会社ひらまつ,27640,2764
2766,日本風力開発株式会社,27660,2766
2767,フィールズ株式会社,27670,2767
2768,双日株式会社,27680,2768
2769,株式会社ヴィレッジヴァンガードコーポレーション,27690,2769
2772,ゲンキー株式会社,27720,2772
2773,株式会社ミューチュアル,27730,2773
2776,株式会社クリムゾン,27760,2776
2777,株式会社カッシーナ・イクスシー,27770,2777
2778,株式会社パレモ,27780,2778
2780,株式会社コメ兵,27800,2780
2782,株式会社セリア,27820,2782
2784,アルフレッサホールディングス株式会社,27840,2784
2786,株式会社サッポロドラッグストアー,27860,2786
2788,アップルインターナショナル株式会社,27880,2788
2789,株式会社カルラ,27890,2789
2790,株式会社ナフコ,27900,2790
2791,大黒天物産株式会社,27910,2791
2792,株式会社ハニーズ,27920,2792
2795,日本プリメックス株式会社,27950,2795
2796,ファーマライズホールディングス株式会社,27960,2796
2798,株式会社ワイズテーブルコーポレーション,27980,2798
2801,キッコーマン株式会社,28010,2801
2802,味の素株式会社,28020,2802
2804,ブルドックソース株式会社,28040,2804
2805,ヱスビー食品株式会社,28050,2805
2806,ユタカフーズ株式会社,28060,2806
2809,キユーピー株式会社,28090,2809
2810,ハウス食品グループ本社株式会社,28100,2810
2811,カゴメ株式会社,28110,2811
2812,焼津水産化学工業株式会社,28120,2812
2813,和弘食品株式会社,28130,2813
2814,佐藤食品工業株式会社,28140,2814
2815,アリアケジャパン株式会社,28150,2815
2816,株式会社ダイショー,28160,2816
2818,株式会社ピエトロ,28180,2818
2819,エバラ食品工業株式会社,28190,2819
2820,株式会社やまみ,28200,2820
2830,アヲハタ株式会社,28300,2830
2831,はごろもフーズ株式会社,28310,2831
2871,株式会社ニチレイ,28710,2871
2872,株式会社　セイヒョー,28720,2872
2874,横浜冷凍株式会社,28740,2874
2875,東洋水産株式会社,28750,2875
2876,株式会社ジェーシー・コムサ,28760,2876
2877,日東ベスト株式会社,28770,2877
2882,イートアンド株式会社,28820,2882
2883,株式会社大冷,28830,2883
2884,株式会社ヨシムラ・フード・ホールディングス,28840,2884
2892,日本食品化工株式会社,28920,2892
2894,石井食品株式会社,28940,2894
2897,日清食品ホールディングス株式会社,28970,2897
2899,株式会社永谷園ホールディングス,28990,2899
2901,石垣食品株式会社,29010,2901
2902,太陽化学株式会社,29020,2902
2903,シノブフーズ株式会社,29030,2903
2904,一正蒲鉾株式会社,29040,2904
2905,オーケー食品工業株式会社,29050,2905
2907,株式会社あじかん,29070,2907
2908,フジッコ株式会社,29080,2908
2910,株式会社ロック・フィールド,29100,2910
2911,旭松食品株式会社,29110,2911
2914,日本たばこ産業株式会社,29140,2914
2915,ケンコーマヨネーズ株式会社,29150,2915
2916,仙波糖化工業株式会社,29160,2916
2917,株式会社大森屋,29170,2917
2918,わらべや日洋ホールディングス株式会社,29180,2918
2919,株式会社　マルタイ,29190,2919
2922,株式会社なとり,29220,2922
2923,佐藤食品工業株式会社,29230,2923
2924,イフジ産業株式会社,29240,2924
2925,株式会社ピックルスコーポレーション,29250,2925
2926,株式会社　篠崎屋,29260,2926
2927,株式会社ＡＦＣ－ＨＤアムスライフサイエンス,29270,2927
2928,ＲＩＺＡＰグループ株式会社,29280,2928
2929,株式会社ファーマフーズ,29290,2929
2930,株式会社北の達人コーポレーション,29300,2930
2931,株式会社ユーグレナ,29310,2931
3001,片倉工業株式会社,30010,3001
3002,グンゼ株式会社,30020,3002
3003,ヒューリック株式会社,30030,3003
3004,神栄株式会社,30040,3004
3010,価値開発株式会社,30100,3010
3011,株式会社バナーズ,30110,3011
3020,アプライド株式会社,30200,3020
3021,株式会社パシフィックネット,30210,3021
3022,山下医科器械株式会社,30220,3022
3023,ラサ商事株式会社,30230,3023
3024,クリエイト株式会社,30240,3024
3028,株式会社アルペン,30280,3028
3030,株式会社ハブ,30300,3030
3031,株式会社ラクーン,30310,3031
3032,株式会社ゴルフ・ドゥ,30320,3032
3034,クオール株式会社,30340,3034
3035,ケイティケイ株式会社,30350,3035
3036,アルコニックス株式会社,30360,3036
3037,スタイライフ株式会社,30370,3037
3038,株式会社神戸物産,30380,3038
3040,株式会社ソリトンシステムズ,30400,3040
3041,株式会社ビューティ花壇,30410,3041
3042,株式会社セキュアヴェイル,30420,3042
3045,株式会社カワサキ,30450,3045
3046,株式会社ジェイアイエヌ,30460,3046
3047,株式会社ＴＲＵＣＫ－ＯＮＥ,30470,3047
3048,株式会社ビックカメラ,30480,3048
3050,ＤＣＭホールディングス株式会社,30500,3050
3053,株式会社ペッパーフードサービス,30530,3053
3054,株式会社ハイパー,30540,3054
3055,株式会社ほくやく・竹山ホールディングス,30550,3055
3057,株式会社ゼットン,30570,3057
3058,株式会社三洋堂ホールディングス,30580,3058
3059,ヒラキ株式会社,30590,3059
3060,マガシーク株式会社,30600,3060
3063,株式会社ジェイグループホールディングス,30630,3063
3064,株式会社ＭｏｎｏｔａＲＯ,30640,3064
3065,株式会社ライフフーズ,30650,3065
3066,株式会社ＪＢイレブン,30660,3066
3067,株式会社東京一番フーズ,30670,3067
3068,株式会社ＷＤＩ,30680,3068
3069,株式会社　アスラポート・ダイニング,30690,3069
3070,株式会社アマガサ,30700,3070
3071,株式会社ストリーム,30710,3071
3073,株式会社ダイヤモンドダイニング,30730,3073
3075,株式会社銚子丸,30750,3075
3076,あいホールディングス株式会社,30760,3076
3077,ホリイフードサービス株式会社,30770,3077
3079,ディーブイエックス株式会社,30790,3079
3080,株式会社ジェーソン,30800,3080
3082,株式会社きちり,30820,3082
3083,株式会社シーズメン,30830,3083
3085,アークランドサービスホールディングス株式会社,30850,3085
3086,Ｊ．フロント　リテイリング株式会社,30860,3086
3087,株式会社ドトール・日レスホールディングス,30870,3087
3088,株式会社マツモトキヨシホールディングス,30880,3088
3089,テクノアルファ株式会社,30890,3089
3091,株式会社ブロンコビリー,30910,3091
3092,株式会社スタートトゥデイ,30920,3092
3093,株式会社トレジャー・ファクトリー,30930,3093
3094,株式会社スーパーバリュー,30940,3094
3096,株式会社オーシャンシステム,30960,3096
3097,株式会社物語コーポレーション,30970,3097
3098,株式会社ココカラファイン,30980,3098
3099,株式会社三越伊勢丹ホールディングス,30990,3099
3101,東洋紡株式会社,31010,3101
3103,ユニチカ株式会社,31030,3103
3104,富士紡ホールディングス株式会社,31040,3104
3105,日清紡ホールディングス株式会社,31050,3105
3106,倉敷紡績株式会社,31060,3106
3107,ダイワボウホールディングス株式会社,31070,3107
3109,シキボウ株式会社,31090,3109
3110,日東紡績株式会社,31100,3110
3111,オーミケンシ株式会社,31110,3111
3113,Ｏａｋキャピタル株式会社,31130,3113
3116,トヨタ紡織株式会社,31160,3116
3121,マーチャント・バンカーズ株式会社,31210,3121
3123,サイボー株式会社,31230,3123
3125,新内外綿株式会社,31250,3125
3131,シンデン・ハイテックス株式会社,31310,3131
3132,マクニカ・富士エレ　ホールディングス株式会社,31320,3132
3133,株式会社海帆,31330,3133
3134,Ｈａｍｅｅ株式会社,31340,3134
